"","plot","plotID","treatment","year","month","seasonID","PB_period","total","reproductive","proportion","bmass_PB","bmass_PP","bmass_krat","trt","bmass_PBs","bmass_PPs","bmass_krats"
"1",2,1,"control",1996,2,1,2,1,0,0,0,17,344,1,-0.625284112245575,-0.979054067040318,1.36775027529539
"2",2,1,"control",2007,2,1,2,1,0,0,194,13,92,1,1.04616675901401,-1.03217507034558,-0.246322605314416
"3",2,1,"control",1996,3,2,2,1,0,0,0,42,230,1,-0.625284112245575,-0.647047796382431,0.637574448352861
"4",2,1,"control",2003,3,2,2,1,0,0,516,55,86,1,3.82043057625931,-0.47440453564033,-0.284752911995602
"5",2,1,"control",2007,3,2,2,1,0,0,354,39,44,1,2.42468294149615,-0.686888548861378,-0.553765058763904
"6",2,1,"control",2014,3,2,3,1,0,0,32,119,514,1,-0.349580875749148,0.37553151724386,2.45660896459566
"7",2,1,"control",1996,4,2,2,1,1,1,0,20,178,1,-0.625284112245575,-0.939213314561371,0.304511790449249
"8",2,1,"control",1997,4,2,2,2,1,0.5,31,154,132,1,-0.358196601889662,0.840340296164901,0.00987943922682369
"9",2,1,"control",2001,4,2,2,1,0,0,0,45,99,1,-0.625284112245575,-0.607207043903485,-0.201487247519699
"10",2,1,"control",2002,4,2,2,2,0,0,76,53,169,1,0.0295110744334385,-0.500965037292961,0.24686633042747
"11",2,1,"control",2004,4,2,2,1,0,0,0,0,0,1,0,0,-0.835587307759268
"12",2,1,"control",2005,4,2,2,3,1,0.333333333333333,33,47,119,1,-0.340965149608635,-0.580646542250854,-0.0733862252490792
"13",2,1,"control",2006,4,2,2,2,0,0,81,87,241,1,0.0725897051360052,-0.049436509198235,0.708030010601702
"14",2,1,"control",2007,4,2,2,2,0,0,294,61,201,1,1.90773937306535,-0.394723030682437,0.451827966060462
"15",2,1,"control",2011,4,2,3,1,0,0,0,32,97,1,-0.625284112245575,-0.779850304645586,-0.214297349746761
"16",2,1,"control",2012,4,2,3,1,0,0,31.87351518,41,99,1,-0.350670634319201,-0.660328047208747,-0.201487247519699
