"","period","month","day","year","treatment","plot","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","note5"
"1",19,1,28,1979,"control",22,11,"DM","F","Z",NA,NA,NA,NA,NA,NA,37,37,"1630",NA,NA
"8",19,1,28,1979,"control",11,27,"DO","M",NA,NA,"S",NA,NA,NA,NA,34,52,"1577103d",NA,NA
"9",19,1,28,1979,"control",22,31,"OL","M","Z",NA,NA,NA,NA,NA,NA,19,35,"1584",NA,NA
"11",19,1,28,1979,"control",22,71,"DM","M","Z",NA,NA,NA,NA,NA,NA,38,47,"1624",NA,NA
"12",19,1,28,1979,"control",11,74,"OL","M","Z",NA,NA,NA,NA,NA,NA,21,35,"1617",NA,NA
"16",19,1,29,1979,"control",2,33,"DM","F","Z",NA,NA,NA,NA,NA,NA,38,42,"1689",NA,NA
"17",19,1,29,1979,"control",2,41,"OT","M","Z",NA,NA,NA,NA,NA,NA,NA,30,"1676",NA,NA
"18",19,1,29,1979,"exclosure",3,41,"OT","F","Z",NA,NA,NA,NA,NA,NA,NA,27,"1649",NA,NA
"19",19,1,29,1979,"control",4,45,"DS","M","Z",NA,NA,NA,NA,NA,NA,NA,126,"1580104d",NA,NA
"20",19,1,29,1979,"control",2,61,"OT","M",NA,NA,"S",NA,NA,NA,NA,NA,26,"1094",NA,NA
"21",19,1,29,1979,"control",4,61,"DM","F","Z",NA,NA,NA,NA,NA,NA,NA,42,"1682",NA,NA
"23",19,1,29,1979,"control",4,65,"DM","M",NA,NA,NA,NA,NA,NA,NA,NA,44,"4641",NA,NA
"25",19,1,29,1979,"control",2,71,"PE","M","Z",NA,NA,NA,NA,NA,NA,NA,26,"1539106d",NA,NA
"27",19,1,29,1979,"control",2,76,"DM","F","Z",NA,NA,NA,NA,NA,NA,NA,43,"4823",NA,NA
"28",20,2,24,1979,"control",22,11,"OL","F","Z",NA,NA,NA,NA,NA,NA,20,40,"1639",NA,NA
"29",20,2,24,1979,"control",22,21,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,50,"1661",NA,NA
"30",20,2,24,1979,"control",22,22,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,47,"1624",NA,NA
"31",20,2,24,1979,"control",22,33,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,44,"1587",NA,NA
"32",20,2,24,1979,"control",8,34,"OL","F","Z",NA,NA,NA,NA,NA,NA,21,32,"1597108d",NA,NA
"33",20,2,24,1979,"control",11,35,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,48,"1594",NA,NA
"34",20,2,24,1979,"control",12,35,"DS","F","Z",NA,NA,NA,NA,NA,NA,52,123,"4535",NA,NA
"35",20,2,24,1979,"control",11,36,"OL","M","Z",NA,NA,NA,NA,NA,NA,21,36,"1601110d",NA,NA
"36",20,2,24,1979,"control",8,37,"DS","M","Z",NA,NA,NA,NA,NA,NA,52,109,"1000036",NA,NA
"37",20,2,24,1979,"control",22,42,"DM","M",NA,NA,"S",NA,NA,NA,NA,35,46,"1598112d",NA,NA
"40",20,2,24,1979,"control",22,53,"DS","F","Z",NA,NA,NA,NA,NA,NA,52,127,"4500",NA,NA
"41",20,2,24,1979,"control",17,54,"DO","F",NA,NA,NA,"P",NA,NA,NA,34,48,"1000041",NA,NA
"42",20,2,24,1979,"control",17,55,"DS","F","Z",NA,NA,NA,NA,NA,NA,50,125,"4880114d",NA,NA
"44",20,2,24,1979,"control",22,67,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,45,"1602",NA,NA
"46",20,2,25,1979,"control",2,11,"DM","F","Z",NA,NA,NA,NA,NA,NA,37,44,"1615",NA,NA
"47",20,2,25,1979,"exclosure",3,21,"OT","M",NA,NA,"S",NA,NA,NA,NA,21,26,"1535115d",NA,NA
"48",20,2,25,1979,"control",2,22,"OL","F","Z",NA,NA,NA,NA,NA,NA,20,30,"1605",NA,NA
"50",20,2,25,1979,"exclosure",3,33,"OT","F","Z",NA,NA,NA,NA,NA,NA,20,30,"1649",NA,NA
"52",20,2,25,1979,"exclosure",15,56,"PM","F",NA,NA,NA,NA,"P",NA,NA,19,24,"1607",NA,NA
"53",20,2,25,1979,"control",4,57,"DS","M","Z",NA,NA,NA,NA,NA,NA,49,130,"1580104d",NA,NA
"55",20,2,25,1979,"control",2,63,"DM","F",NA,NA,NA,NA,NA,"E",NA,35,44,"4823",NA,NA
"56",20,2,25,1979,"control",4,65,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,46,"4641",NA,NA
"57",20,2,25,1979,"control",4,72,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,39,"1682",NA,NA
"58",20,2,25,1979,"control",14,72,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,40,"1608",NA,NA
"60",21,3,31,1979,"control",12,12,"DS","M","Z",NA,NA,NA,NA,NA,NA,51,86,"1663",NA,NA
"61",21,3,31,1979,"control",4,14,"DM","F",NA,"J",NA,NA,NA,NA,NA,34,23,"1685",NA,NA
"62",21,3,31,1979,"control",2,15,"DS","F",NA,NA,NA,"S",NA,NA,NA,48,82,"1669",NA,NA
"63",21,3,31,1979,"control",17,16,"PE","M","Z",NA,NA,NA,NA,NA,NA,20,23,"1506117d",NA,NA
"64",21,3,31,1979,"control",2,17,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,54,"1670",NA,NA
"67",21,3,31,1979,"control",22,22,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,50,"1624",NA,NA
"68",21,3,31,1979,"control",14,24,"DS","F",NA,NA,NA,"S",NA,NA,NA,47,71,"1678",NA,NA
"70",21,3,31,1979,"control",17,31,"DS","M","Z",NA,NA,NA,NA,NA,NA,51,71,"1653",NA,NA
"71",21,3,31,1979,"control",12,32,"DS","F",NA,NA,NA,NA,"P","R",NA,52,125,"4535",NA,NA
"72",21,3,31,1979,"control",14,33,"DS","F",NA,NA,NA,"S",NA,NA,NA,47,73,"1680",NA,NA
"75",21,3,31,1979,"control",2,52,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,45,"1626",NA,NA
"76",21,3,31,1979,"control",22,52,"DS","F",NA,NA,NA,NA,"P","R",NA,52,144,"4500",NA,NA
"78",21,3,31,1979,"control",17,57,"DO","F","Z",NA,NA,NA,NA,NA,NA,35,49,"1652",NA,NA
"79",21,3,31,1979,"control",2,63,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,46,"4823",NA,NA
"80",21,3,31,1979,"control",17,63,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,129,"4880114d",NA,NA
"81",21,3,31,1979,"control",17,66,"DO","F",NA,NA,NA,NA,NA,"R",NA,34,50,"1000081",NA,NA
"82",21,3,31,1979,"control",11,74,"DS","M","Z",NA,NA,NA,NA,NA,NA,NA,NA,"1656",NA,NA
"84",21,3,31,1979,"control",4,77,"DS","M",NA,NA,"S",NA,NA,NA,NA,51,129,"1580104d",NA,NA
"88",22,4,28,1979,"control",12,13,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,75,"1734",NA,NA
"89",22,4,28,1979,"control",12,14,"DS","F",NA,NA,NA,NA,NA,"E",NA,50,140,"4535",NA,NA
"90",22,4,28,1979,"control",12,23,"NA","F","Z",NA,NA,NA,NA,NA,NA,31,86,"1735",NA,NA
"92",22,4,28,1979,"control",22,41,"DS","F",NA,NA,NA,NA,NA,"E",NA,52,127,"4500",NA,NA
"93",22,4,28,1979,"control",11,44,"DM","F",NA,NA,NA,NA,NA,"E",NA,36,46,"1706",NA,NA
"94",22,4,28,1979,"control",22,46,"DS","M","Z",NA,NA,NA,NA,NA,NA,50,76,"1715",NA,NA
"97",22,4,28,1979,"control",12,62,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,34,"1721121d",NA,NA
"98",22,4,28,1979,"control",17,63,"DS","F",NA,NA,NA,NA,NA,"E",NA,48,119,"4880114d",NA,NA
"99",22,4,28,1979,"control",17,76,"DO","F",NA,NA,NA,NA,"P",NA,NA,34,51,"4423",NA,NA
"100",22,4,29,1979,"control",4,11,"OT","M","Z",NA,NA,NA,NA,NA,NA,18,28,"1738",NA,NA
"101",22,4,29,1979,"control",2,17,"NA","M","Z",NA,NA,NA,NA,NA,NA,33,166,"1742122d",NA,NA
"103",22,4,29,1979,"control",14,33,"DS","M","Z",NA,NA,NA,NA,NA,NA,46,67,"1723126d",NA,NA
"105",22,4,29,1979,"exclosure",15,41,"PM","M","Z",NA,NA,NA,NA,NA,NA,22,18,"1741128d",NA,NA
"106",22,4,29,1979,"control",14,43,"DS","M","Z",NA,NA,NA,NA,NA,NA,47,61,"1722",NA,NA
"107",22,4,29,1979,"control",2,52,"DM","M","Z",NA,NA,NA,NA,NA,NA,39,43,"1626",NA,NA
"112",22,4,29,1979,"control",4,77,"NA","M","Z",NA,NA,NA,NA,NA,NA,32,101,"1720",NA,NA
"113",23,5,29,1979,"control",12,17,"NA","M",NA,"J",NA,NA,NA,NA,NA,27,66,"1781",NA,NA
"115",23,5,29,1979,"control",12,23,"NA","M",NA,"J",NA,NA,NA,NA,NA,30,72,"1780",NA,NA
"117",23,5,29,1979,"control",22,26,"DS","M","Z",NA,NA,NA,NA,NA,NA,49,96,"1715",NA,NA
"118",23,5,29,1979,"control",17,31,"DS","F",NA,NA,NA,"S",NA,NA,NA,49,73,"1796131d",NA,NA
"119",23,5,29,1979,"control",22,31,"DM","F",NA,NA,NA,"S",NA,NA,NA,37,47,"1774132d",NA,NA
"120",23,5,29,1979,"control",12,34,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,43,"1721121d",NA,NA
"122",23,5,29,1979,"control",22,37,"DS","M","Z",NA,NA,NA,NA,NA,NA,43,62,"1785",NA,NA
"123",23,5,29,1979,"control",17,43,"DS","F",NA,NA,NA,NA,NA,"E",NA,47,119,"4880114d",NA,NA
"125",23,5,29,1979,"control",12,51,"NA","M",NA,"J",NA,NA,NA,NA,NA,29,70,"1784",NA,NA
"127",23,5,29,1979,"control",22,53,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,60,"1775138d",NA,NA
"130",23,5,29,1979,"control",12,67,"DO","M",NA,NA,"S",NA,NA,NA,NA,34,41,"1772",NA,NA
"131",23,5,29,1979,"control",22,67,"DS","F","Z",NA,NA,NA,NA,NA,NA,45,47,"1788",NA,NA
"134",23,5,30,1979,"control",2,16,"NA","M",NA,NA,"S",NA,NA,NA,NA,32,184,"1742122d",NA,NA
"136",23,5,30,1979,"exclosure",15,27,"OT","F",NA,"J",NA,NA,NA,NA,NA,18,15,"1753",NA,NA
"138",23,5,30,1979,"control",14,37,"DM","F",NA,"J",NA,NA,NA,NA,NA,33,20,"1749",NA,NA
